0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:21:55 +0530] "GET /gamutkart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:21:56 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:21:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:22:29 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:22:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:27:37 +0530] "GET /gamutkart/ HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:27:38 +0530] "GET /gamutkart/ HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:45 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:47 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:48 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:48 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:49 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:35:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:24 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:26 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:26 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:27 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:12:45:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
